Enjoyment Ranking										
season	Summer									
year	2025									
recommendationStage	Mid-Season									
rank	title	jp title	romanized_title	kv	genre	base	studios	creators	synopsis	comment
1	See You Tomorrow at the Food Court	フードコートで、また明日。	Food Court de, Mata Ashita	food	Comedy|Slice of Life	Manga	Atelier Pontdarc	Kazuomi Koga	Meet Wada, who gives off an unapproachable vibe, and Yamamoto, who strikes fear into those around her because of her looks. Though the two girls attend separate high schools, they meet up at a shopping center’s food court almost every day. Take a little peek at the laid-back afternoons Wada and Yamamoto share as they reflect on the ups and downs of high school life together.	
2	Sword of the Demon Hunter	鬼人幻燈抄	Kijin Gentoushou	kijin	Action|Historical|Drama	Naro	Yokohama Animation Laboratory	Kazuya Aiura	In the Edo period, there was a shrine maiden called "Itsukihime" in the mountain village of Kadono. Jinta, a young man who acts as the shrine maiden's guardian despite being a stranger, encounters a mysterious demon who speaks of the far future in the forest where he went to defeat it. From Edo to the Heisei era, this huge Japanese fantasy series follows a demon man who travels through time while continuously questioning the meaning of wielding a sword.	
3	Takopi's Original Sin	タコピーの原罪	Takopii no Genzai	takopi	Drama|Psychological|Sci-Fi	Manga	ENISHIYA	shinya Iino	A Happy alien, Takopi, lands on Earth with one mission: to spread happiness! When he meets Shizuka, a lonely fourth grader, he vows to bring back her smile using his magical Happy Gadgets. But as he uncovers the pain in her life, Takopi learns that true happiness may require more than gadgets.	
4	April Showers Bring May Flowers	ブスに花束を。	Busu ni Hanataba wo.	busu	Comedy|Romance	Manga	SILVER LINK.	Mirai Minato	Hana Tabata is a lonely and unpopular high school girl with negative thoughts. Early morning in the classroom when she was pretending to be a manga heroine, the class's good looking Yosuke accidentally saw her...!? This love, you will definitely want to support it! Masochistic system unpopular girl comedy!	
5	Private Tutor to the Duke's Daughter	公女殿下の家庭教師	Koujo Denka no Katei Kyoushi	koujo	Drama|Fantasy|Romance	Web Novels	Studio Blanc.	Nobuyoshi Nagayama	After Allen failed the court sorcerer exam, he couldn’t return home even if he wanted to. While searching for a job, an unexpected offer comes his way to be the private tutor of the duke’s daughter. Just as he lowers his guard, he faces a girl who can’t use magic at all! But what is preventing her magic from working? Allen’s unconventional lessons gently shine a light on the girl’s future.	
6	Summer Pockets	Summer Pockets	Summer Pockets	samapoke	Drrama|Romance|Supernatural	Light Novel	feel.	Tomoki Kobayashi	Takahara Hairi never expected summer to feel like a dream. Sent to Torishirojima Island to sort through his late grandmother’s belongings, he’s met with endless sea, quiet nostalgia, and mysterious girls, each chasing something just out of reach. As he settles into island life, lost memories begin to surface and he finds what he never knew he’d lost.	
7	Dekin no Mogura: The Earthbound Mole	出禁のモグラ	Dekin no Mogura	mogura	Comedy|Mystery|Supernatural	Manga	Brain's Base	Hiroshi Ishiodori	"I won't die 'cause I was banned from the afterlife."  A shady self-proclaimed hermit named Momoyuki Mogura, AKA: Mogura, is banned from the afterlife due to an incident. Now he collects spirit possessed will-o'-wisps in his lantern, hoping to make a comeback.  It seems that those who encounter him begin to see peculiar things.	
8	Me and the Alien MuMu	宇宙人ムームー	Uchuujin MuuMuu	muumuu	Comedy|Sci-Fi|Slice of Life|School	Manga	OLM	Tomoya Takahashi	A cat-like alien from a distant galaxy, MuMu, arrives on Earth. His goal is to learn about home appliance technology on Earth to recover the technology his species has lost. The protagonist, Sakurako, has a typical university life, but everything changes with MuMu's arrival! What begins as an unexpected cohabitation quickly turns into a whirlwind of chaotic events. The chemistry between Sakurako and MuMu leads to a super-spectacular, appliance-filled, and cat comedy adventure.	
9	Call of the Night Season 2	よふかしのうた Season2	Yofukashi no Uta	yofukashi	Comedy|Romance|Supernatural	Manga	Liden Films	Tomoyuki Itamura	Ko overcomes his confusion about becoming a vampire and decides to "like" Nazuna, while Nazuna resolves to make Ko "fall in love" with her. Without understanding what "love" even is, the two of them spend their nights together in a frenzy. Meanwhile, Detective Uguisu Anko is closing in with her plot to kill vampires, not just Nazuna. A vampire's weakness is "anything they were attached to when they were human" and so they all try to get rid of this weakness before it's too late. But, Nazuna has no memory of her human life. What is Nazuna's hidden past? Why did Anko start killing vampires? And what is the "secret" that Nazuna and Anko share? For Ko, Nazuna, Anko, a fun "late night" doesn't end here... a new "night" begins!	
10	Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin	異世界黙示録マイノグーラ～破滅の文明で始める世界征服～	Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku	mynoghra	Action|Fantasy|comedy|Romance	Naro	MAHO FILM	Yuuji Yanase	Takuto Ira succumbed to illness at a young age and ended up reincarnating in a world that resembles the fantasy turn-based strategy game Eternal Nations. Not only did he reincarnate into his favorite game, but as the god who commands the evil civilization Mynoghra. With Mynoghra's beautiful hero unit, Sludge Witch Atou by his side, not even legendarily difficult race traits will stand in the way of restarting their civilization! “Lord Takuto…won't you start over with me?” Explore, Expand, Exploit, Exterminate! A tactical fantasy world is waiting for heroes like you! Join Eternal Nations today!	
11	Turkey!	Turkey!	Turkey!	turkey	Adventure|Sports|Supernatural	Original	BAKKEN RECORD	Susumu Kudou	"Turkey" is a bowling term for scoring three consecutive strikes.  Mai, a second-year student and captain of the Ikkokukan High School Bowling Club, is a genius who can't seem to win a match. Whenever she scores a Turkey, she mysteriously follows it up with an unyielding split—the Snake Eyes.  One day, Rina, the club’s only first-year member, confronts her "You’re doing it on purpose, aren’t you?"  "You’re running away from winning. But I want to win. If you have no intention of winning, I’ll quit."	
12	Fermat no Ryouri	フェルマーの料理	Fermat no Ryouri	fermat	Drama|Slice of Life	Manga	domerica	Kazuya Ichikawa	Kitada Gaku is a prodigy in Mathematics and a scholarship holder at Wels Private Academy, a renowned institution with a long history in the International Mathematical Olympiad. After a series of unfortunate events, he meets Asakura Kai, a culinary prodigy with his own catering business. What does the future hold for these two geniuses, and how do their paths intertwine with each other's?	
13	Solo Camping for Two	ふたりソロキャンプ	Futari Solo Camp	futari	Slice of Life|Outdoor	Manga	Synergy SP	Jun Hatori	Gen Kinokura, 34 years old.  A solitary camper who cherishes his alone time in nature, Gen enjoys his usual solo camping trips. However, he unexpectedly encounters Shizuku Kusano, a complete beginner in camping. Reluctantly, Gen ends up camping with Shizuku, despite it being the last thing he wanted to do.  What will become of Gen’s peaceful camping life now that it’s turned upside down by this new companion?	
14	Ruri Rocks	瑠璃の宝石	Ruri no Houseki	ruri	Adventure|Slice of Life	Manga	Studio Bind	Shingo Fujii	Mineral collecting is like a modern-day treasure hunt!  Ruri, a high school girl who loves jewelry and accessories, gets into the world of mineral collecting, venturing into mountains, rivers, and caves. The first volume features numerous minerals, including quartz, garnet, pyrite, gold sand, and fluorite. The manga is full of fascinating scenes focusing on specialized tools such as a panning dish, hammer, and topographical maps. An authentic scientific adventure based on the author's solid knowledge of mineralogy!	
15	Dr. Stone: Science Future Part 2	『Dr.STONE SCIENCE FUTURE』第4期最終シーズン第2クール	Dr. Stone: Science Future 4th Season 2nd Cour	drstone	Action|Adventure|Comedy|Sci-Fi	Manga	TMS Entertainment	Shuhei Matsushita	The second cour of the fourth season of Dr.STONE.	
16	Rascal Does Not Dream of Santa Claus	青春ブタ野郎はサンタクロースの夢を見ない	Seishun Buta Yarou wa Santa Claus no Yume wo Minai	buta	Comedy|Romance|Supernatural	Naro	CLOVERWORKS	Souichi Masui	After encountering various girls going through Puberty Syndrome, Sakuta Azusagawa's high school days have come to a close, and he is now a university student. He enrolls at a university in Kanazawa-hakkei alongside his girlfriend Mai Sakurajima, a nationally famed actress. Off campus, he stumbles upon an out-of-season miniskirt Santa. Precognitive dreams, an anonymous online singer, poltergeists buzzing on social media... A mysterious tale with enigmatic phenomenons surrounding girls with wavering hearts starts again. Puberty continues...	
17	Ginga Tokkyuu Milky☆Subway	銀河特急 ミルキー☆サブウェイ	Ginga Tokkyuu Milky☆Subway	mily	Adventure|Comedy|Sci-Fi|Fantasy	Independent 	タイタン⼯業	Youhei Kameyama	Super human Chiharu and cyborg Makina got arrested for breaking space traffic laws. They're stuck with a crew of misfits who got caught around the same time: Akane and Kanata, the super human pair; and Kurt and Max, the cyborg pals. Ryoko, the police officer, sentenced them to clean up the interplanetary train – the so-called "Milky☆Subway," as their community service. It should've been a simple job – until the train suddenly takes off into deep space! The crew scrambles in confusion as chaos unfolds onboard! No purpose! No principle! No point! A never-before-seen space-train spectacle, powered by nothing but pure momentum!	
